Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,,,,,,,
19,tt2942218,2016-03-17,2016-03-17,,Log Horizon,https://www.imdb.com/title/tt2942218/,tvSeries,7.6,25,2013,"Animation, Action, Adventure, Comedy, Fantasy, Romance, Sci-Fi",3793,2013-10-05,,
20,tt5537534,2016-03-17,2016-03-17,,Ajin,https://www.imdb.com/title/tt5537534/,tvSeries,7.6,24,2016,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",5774,2016-01-16
21,tt3895150,2016-03-17,2016-03-17,,Your Lie in April,https://www.imdb.com/title/tt3895150/,tvSeries,8.6,23,2014,"Animation, Drama, Music, Romance",22504,2014-09-01,,,,,
22,tt2016670,2016-03-17,2016-03-17,,Shiki,https://www.imdb.com/title/tt2016670/,tvSeries,7.7,24,2010,"Animation, Drama, Horror, Mystery, Thriller",3102,2010-06-27,,,,
23,tt4728568,2016-03-17,2016-03-17,,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,https://www.imdb.com/title/tt4728568/,tvSeries,7.4,24,2015,"Animation, Action, Adventure, Comedy, Fantasy, Romance",6579,2015-04-03,,,
24,tt3909224,2016-03-17,2016-03-17,,Nanatsu no taizai,https://www.imdb.com/title/tt3909224/,tvSeries,8,24,2014,"Animation, Action, Adventure, Comedy, Fantasy",27532,2014-09-01,,,,
25,tt2348803,2016-03-17,2016-03-17,,Kuroko no basuke,https://www.imdb.com/title/tt2348803/,tvSeries,8.3,24,2012,"Animation, Comedy, Sport",6864,2012-04-07,,,,,,
26,tt2329220,2016-03-17,2016-03-17,,Btooom!,https://www.imdb.com/title/tt2329220/,tvSeries,7.1,25,2012,"Animation, Action, Drama, Romance, Sci-Fi, Thriller",3658,2012-10-04,,,
27,tt1685401,2016-03-17,2016-03-17,,HIGHSCHOOL OF THE DEAD,https://www.imdb.com/title/tt1685401/,tvSeries,7.2,24,2010,"Animation, Action, Drama, Horror, Romance, Thriller",12050,2010-07-05,,,
28,tt2425098,2016-03-17,2016-03-17,,Magi: The Labyrinth of Magic,https://www.imdb.com/title/tt2425098/,tvSeries,7.8,25,2012,"Animation, Action, Adventure, Comedy, Fantasy",3535,2012-10-07,,,,
29,tt3105422,2016-03-17,2016-03-17,,Diamond No Ace,https://www.imdb.com/title/tt3105422/,tvSeries,8.2,,2013,"Animation, Sport",1030,2013-10-06,,,,,,,
30,tt3742982,2016-03-17,2016-03-17,,Akame ga Kill!,https://www.imdb.com/title/tt3742982/,tvSeries,7.8,24,2014,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Thriller",20044,2014-06-01,,
31,tt2098220,2016-03-17,2016-03-17,,Hunter x Hunter,https://www.imdb.com/title/tt2098220/,tvSeries,9,24,2011,"Animation, Action, Adventure, Comedy, Fantasy",73077,2011-10-02,,,,
32,tt0988824,2016-03-17,2016-03-17,,Naruto Shippuden,https://www.imdb.com/title/tt0988824/,tvSeries,8.6,24,2007,"Animation, Action, Adventure, Comedy, Drama, Fantasy",100176,2007-02-15,,,
33,tt0434665,2016-03-17,2016-03-17,,Bleach,https://www.imdb.com/title/tt0434665/,tvSeries,8.1,24,2004,"Animation, Action, Adventure, Fantasy",47838,2004-10-05,,,,,
34,tt1409055,2016-03-17,2016-03-17,,Dragon Ball Kai,https://www.imdb.com/title/tt1409055/,tvSeries,8.2,24,2009,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",21850,2009-04-05,,,
35,tt0962826,2016-03-17,2016-03-17,,Black Lagoon,https://www.imdb.com/title/tt0962826/,tvSeries,8,25,2006,"Animation, Action, Adventure, Comedy, Crime, Mystery",13394,2006-04-08,,,
36,tt1316554,2016-03-17,2016-03-17,,Kuroshitsuji,https://www.imdb.com/title/tt1316554/,tvSeries,7.7,24,2008,"Animation, Action, Comedy, Crime, Drama, Fantasy, Horror, Mystery, Thriller",7367,2008-10-02
37,tt1909447,2016-03-17,2016-03-17,,Deadman Wonderland,https://www.imdb.com/title/tt1909447/,tvSeries,7.2,24,2011,"Animation, Action, Drama, Horror, Thriller",9759,2011-04-16,,,,
38,tt1085074,2016-03-17,2016-03-17,,Black Cat,https://www.imdb.com/title/tt1085074/,tvSeries,7.1,25,2005,"Animation, Action, Crime, Mystery",1031,2005-10-06,,,,,
39,tt1528406,2016-03-17,2016-03-17,,Fairy Tail,https://www.imdb.com/title/tt1528406/,tvSeries,8,24,2009,"Animation, Action, Adventure, Comedy, Fantasy",22505,2009-10-12,,,,
40,tt1587156,2016-03-17,2016-03-17,,Gekijouban Fate/Stay Night: Unlimited Blade Works,https://www.imdb.com/title/tt1587156/,movie,6.9,107,2010,"Animation, Action, Drama, Fantasy, Thriller",1581,2010-01-23,'"Ken''ichi Takeshita', Yuji Yamaguchi",,
41,tt0088509,2016-03-17,2016-03-17,,Dragon Ball,https://www.imdb.com/title/tt0088509/,tvSeries,8.5,24,1986,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",52232,1986-02-26,,,
42,tt0434706,2016-03-17,2016-03-17,,Monster,https://www.imdb.com/title/tt0434706/,tvSeries,8.6,24,2004,"Animation, Crime, Drama, Mystery, Thriller",24180,2004-04-06,,,,
43,tt4731072,2016-03-17,2016-03-17,,Food Wars,https://www.imdb.com/title/tt4731072/,tvSeries,8.2,24,2015,"Animation, Comedy, Drama, Fantasy, Thriller",8436,2015-03-03,,,,
44,tt0388629,2016-03-17,2016-03-17,,One Piece,https://www.imdb.com/title/tt0388629/,tvSeries,8.8,24,1999,"Animation, Action, Adventure, Comedy, Drama, Fantasy",86020,1999-10-20,,,
45,tt0429363,2016-03-17,2016-03-17,,Gettobakk�zu dakkanya,https://www.imdb.com/title/tt0429363/,tvSeries,7.4,24,2002,"Animation, Action, Adventure, Comedy, Sci-Fi",991,2002-10-05,,,,
46,tt1347975,2016-03-17,2016-03-17,,Phantom: Requiem for the Phantom,https://www.imdb.com/title/tt1347975/,tvSeries,7.6,25,2009,"Animation, Action, Crime, Drama, Mystery, Thriller",1607,2009-04-02,,,
47,tt0481256,2016-03-17,2016-03-17,,Hajime no ippo,https://www.imdb.com/title/tt0481256/,tvSeries,8.7,20,2000,"Animation, Action, Comedy, Sport",6036,2000-03-27,,,,,
48,tt1913273,2016-03-17,2016-03-17,,Ano hi mita hana no namae o bokutachi wa mada shiranai.,https://www.imdb.com/title/tt1913273/,tvSeries,8.2,23,2011,"Animation, Adventure, Drama, Fantasy, Mystery, Romance",11570,2011-04-14,,,
49,tt0182629,2016-03-17,2016-03-17,,Meiji kenkaku romantan,https://www.imdb.com/title/tt0182629/,tvSeries,8.5,24,1996,"Animation, Action, Adventure, Comedy, Drama, History, Thriller",18628,1996-01-10,,
50,tt0985344,2018-07-28,2018-07-28,,Kureimoa,https://www.imdb.com/title/tt0985344/,tvSeries,8,24,2007,"Animation, Action, Adventure, Drama, Fantasy, Mystery",12869,2007-04-03,,,
